conversation_id,customer_tweet_id,customer_text,customer_created_at,depth,brand_tweet_ids,brand_reply_text,brand_first_reply_at,n_brand_replies,reply_word_count,is_deflection,deflection_only,conv_max_depth,customer_thanked_after,is_thread_opener,split,has_exact_twin_in_history,n_words,cluster,stratum,natural_weight,llm_suggested_intent,llm_suggested_confidence,llm_suggested_escalate,human_intent,human_escalate,human_escalation_reason,human_difficulty,human_ambiguous,human_notes,label_timestamp,seconds_spent,round
494801,559291,@hulu_support How can you suck this bad? I just signed up again and it’s worse than before. Auburn an Georgia freezes every 5 minutes.,2017-12-02 21:34:18+00:00,0,559289,"@250716 Our sincere apologies! We're investigating with high priority and working to resolve this ASAP. For now, try using: https://t.co/qeNe09yc0o on a supported device (https://t.co/MRh7LxlQXc).",2017-12-02 22:11:59+00:00,1,32,False,False,3,False,True,gold_pool,False,24,2,core_proportional,0.013513513513513514,live_tv_streaming,0.85,False,,,,,,,,,
407728,464786,@hulu_support I don't like how it's mostly text based and all the titles look the same (same font). The show/movie logo should be displayed because it's recognizable for customers and better distinguishes between the different shows and movies.,2017-12-02 02:33:45+00:00,2,464788,"@225545 Thanks, Eddie! You should be seeing show thumbnails while browsing and in My Stuff, along with show imagery as the backdrop for Lineup &amp; Keep Watching. We'll let our team know you'd like to see the logos too. 💚",2017-12-02 04:49:22+00:00,1,41,False,False,3,False,False,gold_pool,False,38,2,core_proportional,0.013513513513513514,app_interface_and_ux,0.98,False,,,,,,,,,
2804342,2980662,"@hulu_support Okay, I paid you guys already for this month, so why is my service disconnected? Please send a DM message.",2017-11-30 03:10:07+00:00,0,2980661,"@822094 Oh no! We'd love to get this sorted out together. Follow us then DM your email addresses and ZIP Code. If you can see a 7 to 10 digit number for the Hulu charge on your statement, that would be helpful as well. We look forward to your message!",2017-11-30 04:27:12+00:00,1,51,True,False,1,False,True,gold_pool,False,21,2,core_proportional,0.013513513513513514,account_and_billing_management,0.95,False,,,,,,,,,
403888,460328,@hulu_support Can you add @224379?,2017-12-01 02:51:04+00:00,8,460329,@224378 We can certainly add the request to WJLA when sharing with our team. We take our viewer feedback seriously and are always working to make improvements. Feel free to also share any requests on: https://t.co/n4qDfJdbFR. Hope this helps!,2017-12-01 03:10:53+00:00,1,42,False,False,10,True,False,gold_pool,False,5,2,core_proportional,0.013513513513513514,content_availability,0.9,False,,,,,,,,,
500671,565509,@hulu_support I would definitely check that out. I appreciate your response. Wondering such repetition not going to impress customers though,2017-12-03 01:02:27+00:00,2,565511,"@252535 You're welcome, Muthu. Another option which may interest you is to subscribe to our No Commercials Plan here: https://t.co/cZHqrcmWQY. For an additional $4 per month, you get access to the same content with no interruptions or breaks. 🙌🏾",2017-12-03 21:47:52+00:00,1,42,False,False,5,False,False,gold_pool,False,20,2,core_proportional,0.013513513513513514,commercials_and_ads,0.9,False,,,,,,,,,
2795172,2971763,@hulu_support A Roku express and Roku stream stick.,2017-11-30 00:51:14+00:00,2,2971761,"@819668 Unfortunately, reducing the video quality is not an option on these devices. But we do see how that would come in handy in this case, so we'll be sure to share the interest in this feature with our dev team!",2017-11-30 01:03:56+00:00,1,42,False,False,5,True,False,gold_pool,False,8,2,core_proportional,0.013513513513513514,technical_support_and_errors,0.95,False,,,,,,,,,
2751817,2927259,@hulu_support Firestick. We've been experiencing playback failures and buffering/pixelization issues since the last push.,2017-11-29 05:28:19+00:00,2,2927261,@809873 Is this behavior affecting all content (live and on-demand)? Try: https://t.co/TR6ei0cnf1 and let us know if you see any change during playback.,2017-11-29 05:55:57+00:00,1,27,False,False,5,False,False,gold_pool,False,14,2,core_proportional,0.013513513513513514,technical_support_and_errors,0.95,False,,,,,,,,,
496562,561124,@hulu_support Constant buffering on all device types. I want to like your service but this quality is super disappointing.,2017-12-02 23:30:19+00:00,1,598416,"@261892 Hey, Jeremy! Sorry to hear of the trouble. Let's see what we can do to turn this experience around for you. If you're noticing the same behavior across multiple platforms, please try to troubleshoot with: https://t.co/HXpLyTU79x. ✅ Keep us posted on an improvement!",2017-12-03 20:03:22+00:00,1,48,False,False,5,True,False,gold_pool,False,19,2,core_proportional,0.013513513513513514,technical_support_and_errors,0.95,False,,,,,,,,,
402499,458827,@hulu_support Nvmmmm I managed to get it to workkkk,2017-11-30 23:39:40+00:00,1,458826,@223969 Phew! We're glad to hear all is well now. If there is anything else we can help with or if you have questions let us know. We're only a tweet away if you need us! 💚,2017-12-01 00:52:15+00:00,1,38,False,False,2,False,False,gold_pool,False,9,2,core_proportional,0.013513513513513514,technical_support_and_errors,0.8,False,,,,,,,,,
496562,561153,"@hulu_support Doesn’t work on mobile, either. You’ll be giving us all refunds, right? I’m not paying for this shit.",2017-12-02 22:35:31+00:00,1,594441,"@251014 Apologies for any frustration, Elizabeth! Our team is hard at work investigating the root cause of this behavior with the network. We'll definitely be forwarding your experience to our team. For cancel options, please contact: https://t.co/6YdK7bvQN7. ✅",2017-12-03 18:05:34+00:00,1,41,False,False,5,True,False,gold_pool,False,19,2,core_proportional,0.013513513513513514,account_and_billing_management,0.85,False,,,,,,,,,
496562,597214,@hulu_support No problem. The ACC Ch and Big 10 Ch games both streamed just fine.,2017-12-03 19:41:33+00:00,3,597215,"@261593 Awesome, we're so glad to hear this! Thank you for bearing with us and for keeping us updated, Jim! Please don't hesitate to reach out if you run into any additional trouble.",2017-12-03 20:54:07+00:00,1,35,False,False,5,False,False,gold_pool,False,15,2,core_proportional,0.013513513513513514,live_tv_streaming,0.85,False,,,,,,,,,
